g,bp_rp
15.736347,0.77143574
15.736965,0.84857845
15.739076,0.98437023
15.740845,1.0612164
15.741494,1.0596647
15.7416,0.7587471
15.7451315,0.7934933
15.745382,1.4430275
15.746124,2.165616
15.750285,0.7512703
15.751621,0.9271498
15.753701,0.8703251
15.75439,0.93372536
15.754424,1.1615114
15.75598,0.946455
15.757331,0.7938185
15.757585,0.71243477
15.762677,1.1875334
15.76286,1.0525475
15.765337,1.0188694
15.768953,0.80042267
15.769058,1.0102377
15.7744875,1.1349926
15.774748,1.1302605
15.776207,0.72651196
15.776707,0.8298836
15.7826,0.75535583
15.784307,1.0651226
15.786147,0.81874084
15.78913,0.80371094
15.790236,0.85144997
15.795396,0.8507118
15.804254,1.180687
15.804837,1.5811443
15.807776,0.9108057
15.807998,1.4161701
15.821131,1.159585
15.821498,1.0087156
15.823291,1.4752264
15.823953,1.0176764
15.8246565,1.3324032
15.825057,0.80764294
15.8292055,1.0181303
15.833456,0.9757786
15.835313,0.82686996
15.835982,0.8279686
15.836679,1.5780573
15.841685,0.93023586
15.842993,1.2220411
15.843651,1.299798
15.846416,1.1437006
15.8467455,0.9537792
15.84868,1.5183201
15.848788,1.1682911
15.848977,1.0089931
15.850432,1.7208014
15.852375,0.9052172
15.8540745,0.91623306
15.862098,1.16012
15.863242,0.92366314
15.863872,1.0680666
15.866457,1.3987713
15.869748,1.4010983
15.870841,0.7947788
15.872901,2.1818075
15.874715,0.8008776
15.876731,1.036376
15.889411,0.76597023
15.890357,1.3074493
15.891584,0.89303493
15.898975,1.1526346
15.900337,1.0295029
15.900424,0.8468199
15.907283,0.9617548
15.911322,0.8302803
15.921765,1.3123884
15.923449,1.090414
15.9274435,0.9829397
15.930067,1.1100769
15.930694,1.2944422
15.931543,1.5928707
15.934842,1.2223482
15.935035,0.7991228
15.935647,1.172699
15.93601,0.93305016
15.939779,0.73357296
15.940499,1.0058403
15.940515,1.5962934
15.942941,1.0573473
15.945672,1.4164839
15.947656,0.7925234
15.948824,0.9877634
15.952998,1.3213053
15.953188,0.82122993
15.954554,1.181818
15.955452,1.619504
15.955625,1.5178452
15.958146,1.2755585
15.958283,0.8443985
15.960937,0.9836941
15.972773,1.1159925
15.974475,1.6213312
15.975016,1.1626167
15.975914,0.92244816
15.978513,0.8445425
15.979471,1.140625
15.980739,1.3783264
15.986417,1.2233315
15.986853,1.4140663
15.98703,1.3881769
15.987568,1.2598009
15.987892,1.4855766
15.988912,1.2206125
15.991724,0.7820053
15.993801,2.1435719
15.994378,1.0954981
15.994882,1.0526123
15.9962225,1.6533203
15.997095,0.8048048
15.997629,0.85289
15.997988,0.84533596
16.00253,1.232338
16.002886,1.3898258
16.00511,0.90441513
16.007694,1.231327
16.008598,0.9289236
16.010841,0.8444462
16.014183,1.1039686
16.015339,1.1506653
16.019049,1.0536919
16.019463,1.478692
16.020662,1.3618164
16.021906,0.89610195
16.025385,0.818141
16.025728,0.81103325
16.028187,0.8690777
16.028444,1.2573872
16.032463,1.1142931
16.033182,1.3242683
16.033318,1.0918884
16.033796,1.2714462
16.035904,1.2303581
16.038382,1.0353842
16.040628,1.4827156
16.043304,0.8112221
16.048319,0.8556671
16.048374,0.89657116
16.048391,1.1762428
16.048489,1.0319977
16.052471,0.83412266
16.052557,1.0730124
16.055344,1.0824423
16.055593,1.5555811
16.055794,0.83928776
16.05723,0.8721762
16.057531,0.8159933
16.057598,0.8744917
16.058998,1.0067921
16.060156,1.1191664
16.060987,0.91479015
16.0611,0.9811678
16.063335,1.0045633
16.064066,1.1531181
16.064163,0.8768587
16.06646,1.1429472
16.06804,1.1999302
16.069504,1.2138815
16.073734,1.073164
16.076855,0.8530922
16.077705,0.84181595
16.079714,1.1221027
16.0835,0.8494463
16.083971,1.0025253
16.085503,1.1236067
16.086315,0.86200047
16.08665,1.1954021
16.088198,1.0699902
16.08825,1.6630726
16.089699,0.8331957
16.090206,1.1999302
16.09153,1.0764093
16.093147,1.1673613
