Vendor;Model;Optics;D (mm);D (inch);FL (mm);f/Ratio;Mag;"DL ("")";Min;Max;FF (°)
Orion;VX102-ED Refractor;Refractor;102;4;665;6,5;12,7;1,1;14x;162x;8
Orion;VX102-FL Refractor;Refractor;102;4;920;9;12,7;1,1;14x;162x;8
Orion;VX120-GP Refractor;Refractor;120;4,7;800;6,7;13,1;1,0;16x;190x;6,8
Orion Optics (UK);AG10;Newtonian;250;9,8;950;3,8;14,7;0,5;33x;397x;
Orion Optics (UK);AG12;Newtonian;300;11,8;1140;3,8;15,1;0,4;40x;476x;
Orion Optics (UK);AG14;Newtonian;350;13,8;1330;3,8;15,4;0,3;47x;556x;
Orion Optics (UK);AG16;Newtonian;400;15,7;1520;3,8;15,7;0,3;53x;635x;
Orion Optics (UK);AG8;Newtonian;200;7,9;760;3,8;14,2;0,6;27x;317x;
Orion Optics (UK);CT10;Newtonian;250;9,8;1200;4,8;14,7;0,5;33x;397x;
Orion Optics (UK);CT10L;Newtonian;250;9,8;1575;6,3;14,7;0,5;33x;397x;
Orion Optics (UK);CT12;Newtonian;300;11,8;1200;4;15,1;0,4;40x;476x;
Orion Optics (UK);CT12L;Newtonian;300;11,8;1590;5,3;15,1;0,4;40x;476x;
Orion Optics (UK);CT14;Newtonian;350;13,8;1600;4,6;15,4;0,3;47x;556x;
Orion Optics (UK);CT16;Newtonian;400;15,7;1600;4;15,7;0,3;53x;635x;
Orion Optics (UK);CT8;Newtonian;200;7,9;900;4,5;14,2;0,6;27x;317x;
Orion Optics (UK);ODK10;Dall-Kirkham;250;9,8;1700;6,8;14,7;0,5;33x;397x;
Orion Optics (UK);ODK12;Dall-Kirkham;300;11,8;2040;6,8;15,1;0,4;40x;476x;
Orion Optics (UK);ODK14;Dall-Kirkham;350;13,8;2380;6,8;15,4;0,3;47x;556x;
Orion Optics (UK);ODK16;Dall-Kirkham;400;15,7;2720;6,8;15,7;0,3;53x;635x;
