ra,dec,phot_g_mean_mag,bp_rp
250.3992131129569,36.49836459401033,18.445812,0.7266197
250.39655807026017,36.49851324742495,18.336664,0.6611748
250.38103751771598,36.249388234460724,17.23026,0.9051838
250.41876915748887,36.2874492764648,14.860227,1.0084543
250.3991391422698,36.30718748963043,17.038439,0.90255356
250.400417529751,36.32807257755247,18.381952,0.6460476
250.29831340939998,36.243029452583436,18.294796,0.64426804
250.36320731225828,36.320455824644306,18.116577,0.69057846
250.26953667195633,36.29982619729327,15.703728,0.98584557
250.27624853113082,36.31042181919531,16.203417,0.77377796
250.30000910748328,36.34382445956442,17.558678,0.84856796
250.2660620859123,36.33046128052438,17.49265,0.8636532
250.3526973463045,36.380532973325266,17.92213,0.7051468
250.2946206349179,36.35992968395236,14.073082,0.74244785
250.28721371890617,36.36102449764875,17.721775,1.4598866
250.2833288772247,36.36592683737201,17.273909,0.89245033
250.64664257204356,36.30761482621381,17.688557,0.8208046
250.67900945511138,36.363389522610035,16.435028,1.024847
250.5563409867598,36.33531813317542,18.465622,0.61000633
250.51097287585497,36.31653069371344,17.988968,0.70726967
250.5284205429445,36.328844521331945,15.755974,0.828866
250.47187472472586,36.31586959223493,18.137207,0.6774578
250.45251005365256,36.33304024923248,18.356537,0.63562584
250.45633396865165,36.35349142645713,17.71414,0.79434013
250.52534499262083,36.3726977306401,17.97398,0.6746597
250.45530118517826,36.37707156457282,15.976763,0.96284294
250.45237339337723,36.3854911153225,17.828037,0.7091217
250.46276133765429,36.38334689010846,18.158249,0.7003498
250.4589576527337,36.38686331842349,18.354113,0.677536
250.48178846861975,36.38898276523248,18.424765,0.6144695
250.49179977250108,36.382062276886636,18.270884,0.6900654
250.48827276791621,36.38429100855718,18.05101,0.7056637
250.5007075995715,36.40766240291767,18.021122,0.6520939
250.47145654529527,36.402546772083205,18.40955,-0.34750366
250.47815306818904,36.411704507094264,18.21948,0.67840004
250.4840457713521,36.41886039252726,18.204096,0.69501305
250.56951814246995,36.39477611083582,16.604996,0.9262619
250.58498959598924,36.42053464228269,17.822939,0.76561165
250.6224012393996,36.450467266776634,16.02802,0.67405224
250.53192786060524,36.404103721903084,18.382858,0.6368904
250.52932810045706,36.42049969457125,18.387415,0.63044167
250.56676478419402,36.41566871004986,18.097263,0.68943214
250.54972371578165,36.42236371866255,17.691717,0.7975178
250.51729109278975,36.424320568245,18.11337,0.760231
250.5081667486463,36.42273838439708,15.349858,1.0069208
250.5279446199708,36.44994975914297,18.43255,0.6566353
250.53209482048095,36.45864264689753,17.618254,0.8318882
250.53762832613222,36.460362432577035,17.89831,0.688961
250.59162436167867,36.44358412708736,16.761265,0.923666
250.58328160385832,36.4432096173657,18.365915,0.6150913
250.59542074759065,36.46072626248551,18.37881,0.6715317
