ID;Name;Type;RA;Dec;Mag;Mag 2;Sep;PosAngle;Catalogue;Spect
HIP72603;CCDM14508-1602, HD130819, BD-15 3965;Star+Dbl;14h 50m 41s;-15°59,8';5,2;5,2;;;Hipparcos;F3V
WDS10459+3041;42 LMi, S612, BD+31 02180;Dbl;10h 45m 52s;+30°40,9';5,3;7,8;196,4;174;WDS2024_08;A1Vn
HIP52645;CCDM10459+3040, BD+31 2181;Star;10h 45m 54s;+30°37,6';7,6;;;;Hipparcos;K2III
WDS06268+5825;5 Lyn, S514, BD+58 00925;Dbl;06h 26m 49s;+58°25,0';5,4;7,9;95,5;272;WDS2024_08;K4III
HIP30661;CCDM06268+5825, HD44647, BD+58  925;Star;06h 26m 37s;+58°25,1';7,9;;;;Hipparcos;G9III
WDS07229+5517;19 Lyn, STF1062, BD+55 01193;Dbl;07h 22m 52s;+55°16,8';5,8;7,6;213,7;4;WDS2024_08;B8V
HIP35787;CCDM07228+5518, HD237611, BD+55 1193;Star;07h 22m 54s;+55°20,4';7,6;;;;Hipparcos;A0V
WDS16256-2327;H219, CD-23 12862;Dbl;16h 25m 35s;-23°26,7';5,1;7,3;151,1;0;WDS2024_08;B5V
WDS16256-2327;BU1115, CD-23 12860, CCDM16255-2327, HD147888, CPD-23  6368, HIP80461;Dbl;16h 25m 24s;-23°27,6';6,8;8,4;0,3;196;WDS2024_08;B5V
WDS16256-2327;KOU63, CCDM16255-2327, HD147932, CD-23 12862, CPD-23  6370, HIP80474;Dbl;16h 25m 35s;-23°24,3';5,8;11,7;4,8;206;WDS2024_08;B5V
WDS17153-2636;SHJ243, CD-26 12036;Dbl;17h 15m 21s;-26°36,1';5,1;6,5;732,5;74;WDS2024_08;K5Ve
HIP84478;CCDM17155-2635, HD156026, CD-26 12036, CPD-26  5863;Star;17h 16m 14s;-26°32,6';6,3;;;;Hipparcos;K5V
HIP84391;CCDM17155-2635, HD155849, CD-26 12025, CPD-26  5857;Star;17h 15m 13s;-26°31,8';7,6;;;;Hipparcos;G8III/IV
WDS05354-0525;Theta 2 Ori, STFA17, BD-05 01319;Dbl;05h 35m 23s;-05°25,0';5,0;5,1;134,4;315;WDS2024_08;O9.5IV
HIP26221;Theta 1 Ori, Trapezium, CCDM05353-0524, HD37022, BD-05 1315;Star+Dbl;05h 35m 16s;-05°23,3';5,1;5,1;;;Hipparcos;O6pe
