nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
Fornax,ESO 356- 4,39.9975,-34.44917,165.54,0.741,60,8.14,4.0,1.0,0,0.0
NGC 1042,MCG -2- 7- 54,40.1,-8.43389,114.53,0.776,0,11.01,1.0,0.08,0,1.4
NGC 1023,UGC 2154,40.10042,39.06278,67.94,0.339,87,9.45,4.0,1.0,0,0.0
NGC 1052,MCG -1- 7- 34,40.27042,-8.25611,40.47,0.692,120,10.51,4.0,1.0,0,5.01
NGC 1055,UGC 2173,40.43625,0.44194,131.65,0.355,105,10.65,1.0,0.3,0,1.97
NGC 1068,UGC 2188,40.6675,-0.01333,53.49,0.851,70,8.86,1.0,0.3,0,2.94
NGC 1060,UGC 2191,40.81292,32.425,28.65,0.759,75,12.1,4.0,1.0,0,0.0
NGC 1058,UGC 2193,40.875,37.34167,33.48,0.933,0,11.27,1.0,0.15,0,0.0
NGC 1073,UGC 2210,40.91833,1.37667,112.49,0.912,15,10.92,1.0,0.15,0,3.08
NGC 1079,ESO 416- 13,40.93583,-29.00389,66.45,0.617,87,11.48,1.0,0.6,0,4.42
NGC 1084,MCG -1- 8- 7,41.49917,-7.57833,41.52,0.562,35,10.76,1.0,0.15,0,1.06
NGC 1097,ESO 416- 20,41.57875,-30.2725,95.12,0.676,130,9.48,1.0,0.3,0,4.59
NGC 1087,UGC 2245,41.60375,-0.49611,63.26,0.603,5,10.91,1.0,0.15,0,1.78
NGC 1090,UGC 2247,41.63958,-0.24667,61.24,0.437,102,11.76,1.0,0.15,0,1.96
IC 1864,ESO 356- 17,43.415,-34.19694,22.82,0.617,63,11.75,1.0,0.3,0,0.0
NGC 1140,MCG -2- 8- 19,43.64,-10.02694,11.87,0.55,10,12.29,1.0,0.03,0,2.92
A 0255-54,ESO 154- 23,44.21792,-54.57306,126.41,0.209,39,12.25,1.0,0.03,1,1.07
NGC 1156,UGC 2455,44.9275,25.2375,39.03,0.741,25,11.77,1.0,0.03,0,0.0
NGC 1161,UGC 2474,45.31042,44.8975,88.03,0.724,23,11.15,4.0,0.6,0,0.0
NGC 1172,MCG -3- 8- 59,45.40042,-14.83694,43.87,0.776,0,11.8,4.0,1.0,0,0.0
NGC 1187,ESO 480- 23,45.65708,-22.86778,90.39,0.741,130,10.79,1.0,0.15,0,0.0
