nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 4550,UGC 7757,188.87875,12.22139,20.18,0.282,178,11.66,4.0,0.6,0,1.97
NGC 4507,ESO 322- 29,188.90458,-39.90861,41.04,0.794,0,12.17,1.0,0.3,0,0.0
NGC 4551,UGC 7759,188.90917,12.26556,14.69,0.794,70,12.07,4.0,1.0,0,0.0
NGC 4552,UGC 7760,188.91625,12.55694,30.7,0.912,0,9.83,4.0,1.0,0,0.0
NGC 4559,UGC 7766,188.99083,27.96,150.94,0.407,150,9.91,1.0,0.08,0,1.25
NGC 4561,UGC 7768,189.03583,19.32389,31.73,0.851,30,12.35,1.0,0.03,0,1.17
NGC 4565,UGC 7772,189.08583,25.98472,186.19,0.135,136,9.67,1.0,0.3,1,1.28
NGC 4564,UGC 7773,189.1125,11.43917,30.7,0.417,47,11.15,4.0,1.0,0,0.0
NGC 4567,UGC 7777,189.13667,11.25861,29.68,0.676,85,11.31,1.0,0.15,0,1.17
NGC 4568,UGC 7776,189.14458,11.2375,43.54,0.437,23,10.93,1.0,0.15,0,1.91
NGC 4569,UGC 7786,189.20875,13.16333,167.49,0.457,23,9.51,1.0,0.3,0,3.36
NGC 4570,UGC 7785,189.22208,7.24778,26.01,0.302,159,10.94,4.0,0.6,0,0.0
NGC 4571,UGC 7788,189.23625,14.2175,42.32,0.891,55,11.27,1.0,0.08,0,1.62
NGC 4589,UGC 7797,189.35667,74.19472,42.87,0.813,90,10.79,4.0,1.0,0,0.0
NGC 4578,UGC 7793,189.37792,9.55528,102.24,0.741,35,11.48,4.0,0.6,0,0.0
NGC 4579,UGC 7796,189.43417,11.81972,91.89,0.794,95,9.73,1.0,0.3,0,5.95
NGC 4580,UGC 7794,189.45167,5.36917,56.88,0.776,165,11.08,1.0,0.5,0,1.04
NGC 4586,UGC 7804,189.61708,4.31889,77.91,0.339,115,11.89,1.0,0.5,1,9.46
NGC 4595,UGC 7826,189.965,15.29861,19.0,0.646,110,12.16,1.0,0.3,0,1.1
NGC 4596,UGC 7828,189.98375,10.17583,120.12,0.741,135,10.45,4.0,0.6,0,5.26
NGC 4594,MCG -2-32- 20,189.9975,-11.62278,132.5,0.407,90,8.23,1.0,0.5,0,3.49
NGC 4605,UGC 7831,190.00125,61.60917,73.33,0.38,125,10.34,1.0,0.15,0,0.86
,ESO 322- 51,190.22458,-41.60611,29.32,0.288,52,11.79,4.0,1.0,0,0.0
NGC 4606,UGC 7839,190.24083,11.91139,48.1,0.501,33,11.92,1.0,0.5,0,2.9
NGC 4608,UGC 7842,190.30667,10.15639,44.66,0.832,0,11.07,4.0,0.6,0,0.0
NGC 4612,UGC 7850,190.38708,7.31528,19.58,0.794,145,11.0,4.0,0.6,0,0.0
NGC 4618,UGC 7853,190.3875,41.15083,61.86,0.813,25,10.67,1.0,0.03,0,1.49
NGC 4648,UGC 7868,190.43917,74.42167,10.43,0.741,70,12.06,4.0,1.0,0,0.0
NGC 4625,UGC 7861,190.47083,41.27417,24.28,0.871,0,12.37,1.0,0.03,0,1.56
NGC 4621,UGC 7858,190.51042,11.64694,48.65,0.692,165,9.67,4.0,1.0,0,0.0
NGC 4631,UGC 7865,190.53208,32.54111,288.0,0.174,86,9.2,1.0,0.08,1,2.34
NGC 4638,UGC 7880,190.69875,11.44306,22.5,0.617,125,11.23,4.0,1.0,0,0.0
NGC 4636,UGC 7878,190.7075,2.68806,100.49,0.776,150,9.53,4.0,1.0,0,5.98
NGC 4639,UGC 7884,190.71917,13.25833,40.37,0.676,123,11.49,1.0,0.15,0,2.87
NGC 4645A,ESO 322- 59,190.7725,-41.35889,4.5,0.275,33,11.3,4.0,0.6,0,0.0
NGC 4643,UGC 7895,190.83417,1.97806,44.92,0.741,48,10.82,1.0,0.6,0,3.91
NGC 4645B,ESO 322- 60,190.88125,-41.36194,54.72,0.38,154,11.2,4.0,0.6,0,0.0
NGC 4647,UGC 7896,190.885,11.58222,36.4,0.794,125,11.39,1.0,0.15,0,0.0
NGC 4649,UGC 7898,190.91792,11.54944,76.23,0.813,105,8.91,4.0,1.0,0,0.0
NGC 4651,UGC 7901,190.9275,16.39444,50.25,0.661,80,10.84,1.0,0.15,0,1.68
NGC 4653,UGC 7900,190.96208,-0.55944,45.87,0.871,30,12.19,1.0,0.08,0,1.44
NGC 4654,UGC 7902,190.98583,13.12583,77.86,0.575,128,10.55,1.0,0.08,0,1.56
NGC 4656,UGC 7907,190.99167,32.17167,216.9,0.195,33,10.41,1.0,0.03,1,1.72
A 1241-05,MCG -1-33- 1,191.0,-5.66667,61.86,0.813,47,12.26,1.0,0.03,0,0.0
,ESO 381- 12,191.02167,-34.20361,8.31,0.813,0,11.8,1.0,0.3,0,0.0
NGC 4645,ESO 322- 66,191.04083,-41.75028,21.98,0.617,52,11.98,4.0,1.0,0,0.0
NGC 4650,ESO 322- 67,191.08542,-40.73194,93.32,0.871,83,11.85,1.0,0.5,0,0.0
NGC 4660,UGC 7914,191.135,11.19083,14.19,0.741,100,11.26,4.0,1.0,0,0.0
NGC 4658,MCG -2-33- 1,191.1575,-10.08417,27.81,0.447,3,12.23,1.0,0.15,0,1.36
NGC 4665,UGC 7924,191.27583,3.05722,94.94,0.832,0,9.6,1.0,0.6,0,0.0
NGC 4666,UGC 7926,191.2875,-0.46056,60.22,0.282,42,10.94,1.0,0.15,1,1.71
A 1243-05,MCG -1-33- 3,191.42208,-6.06972,57.14,0.724,140,12.43,1.0,0.03,0,1.02
NGC 4696B,ESO 322- 81,191.83917,-41.23778,5.3,0.537,40,11.78,4.0,0.6,0,0.0
NGC 4689,UGC 7965,191.94083,13.76417,49.98,0.813,0,10.85,1.0,0.15,0,1.6
NGC 4691,MCG 0-33- 13,192.05625,-3.33306,54.01,0.813,85,10.76,1.0,0.6,0,2.34
NGC 4694,UGC 7969,192.06292,10.98528,86.5,0.479,140,11.16,4.0,0.6,0,3.46
NGC 4698,UGC 7970,192.09792,8.48778,56.01,0.617,170,10.71,1.0,0.3,0,3.64
NGC 4697,MCG -1-33- 10,192.14958,-5.80056,89.56,0.646,70,9.24,4.0,1.0,0,0.0
NGC 4699,MCG -1-33- 13,192.25958,-8.66444,49.35,0.692,45,9.66,1.0,0.3,0,4.68
NGC 4701,UGC 7975,192.29958,3.39028,35.08,0.776,45,12.25,1.0,0.08,0,1.59
NGC 4710,UGC 7980,192.4125,15.16528,32.43,0.24,27,11.01,4.0,0.6,0,2.43
NGC 4713,UGC 7985,192.49208,5.31083,43.04,0.631,100,11.64,1.0,0.08,0,0.98
NGC 4709,ESO 323- 3,192.51708,-41.38222,71.14,0.851,0,11.1,4.0,1.0,0,0.0
NGC 4725,UGC 7989,192.61208,25.50028,157.85,0.708,35,9.36,1.0,0.3,0,5.62
NGC 4736,UGC 7996,192.72333,41.11944,57.31,0.813,105,8.24,1.0,0.3,0,3.78
NGC 4731,MCG -1-33- 26,192.75458,-6.39139,94.93,0.49,95,11.35,1.0,0.08,0,2.15
NGC 4733,UGC 7997,192.77875,10.9125,49.79,0.347,0,11.8,4.0,1.0,0,2.35
,ESO 507- 25,192.88333,-26.45167,21.98,0.776,102,11.71,4.0,1.0,0,0.0
NGC 4747,UGC 8005,192.93875,25.77417,37.83,0.339,30,12.41,1.0,0.08,1,1.48
NGC 4742,MCG -2-33- 32,192.95042,-10.455,7.64,0.562,75,11.22,4.0,1.0,0,0.0
A 1249-41,ESO 323- 19,193.01542,-41.46,19.82,0.437,112,11.9,4.0,1.0,0,0.0
NGC 4754,UGC 8010,193.07375,11.31361,34.84,0.537,23,10.62,4.0,1.0,0,4.9
NGC 4753,UGC 8009,193.095,-1.19917,67.06,0.468,80,10.3,1.0,0.03,0,5.07
NGC 4751,ESO 323- 29,193.21458,-42.65972,36.91,0.38,175,10.9,4.0,1.0,0,0.0
NGC 4762,UGC 8016,193.23458,11.23,49.67,0.191,32,10.22,4.0,0.6,0,3.95
NGC 4760,MCG -2-33- 41,193.28042,-10.49444,41.41,0.955,0,10.5,4.0,1.0,0,0.0
NGC 4771,UGC 8020,193.34125,1.27056,37.47,0.214,133,12.37,1.0,0.08,1,0.77
NGC 4763,MCG -3-33- 13,193.36333,-17.00583,31.99,0.708,0,11.83,1.0,0.5,0,0.0
NGC 4772,UGC 8021,193.37125,2.16972,49.2,0.501,147,11.21,1.0,0.5,0,5.97
NGC 4767,ESO 323- 36,193.47208,-39.71444,35.66,0.468,0,11.61,4.0,1.0,0,0.0
NGC 4786,MCG -1-33- 46,193.63583,-6.85833,25.83,0.776,170,11.82,4.0,1.0,0,0.0
NGC 4800,UGC 8035,193.65833,46.53111,28.07,0.741,25,11.55,1.0,0.3,0,2.23
NGC 4793,UGC 8033,193.67125,28.9375,63.53,0.537,50,11.75,1.0,0.15,0,1.18
NGC 4795,UGC 8037,193.76333,8.06694,37.58,0.851,115,11.35,1.0,0.5,0,6.29
NGC 4814,UGC 8051,193.84,58.34806,49.48,0.741,135,12.05,1.0,0.3,0,1.72
IC 3896A,ESO 219- 8,193.87667,-50.07083,62.22,0.759,12,12.35,1.0,0.08,0,0.0
NGC 4808,UGC 8054,193.95667,4.30389,23.8,0.417,127,11.8,1.0,0.08,0,1.04
IC 3896,ESO 219- 12,194.18333,-50.34528,49.79,0.759,10,11.2,4.0,1.0,0,0.0
NGC 4826,UGC 8062,194.18458,21.68472,125.22,0.537,115,8.61,1.0,0.3,0,2.92
NGC 4818,MCG -1-33- 57,194.20375,-8.52556,74.03,0.355,0,11.25,1.0,0.3,0,15.41
NGC 4832,ESO 323- 51,194.44708,-39.76,48.38,0.661,25,11.3,4.0,0.6,0,0.0
NGC 4845,UGC 8078,194.50583,1.57528,70.71,0.263,89,11.35,1.0,0.3,1,11.49
NGC 4861,UGC 8098,194.76,34.86278,49.89,0.372,15,12.35,1.0,0.03,0,0.0
NGC 4856,MCG -2-33- 78,194.83875,-15.04222,39.86,0.275,35,10.59,1.0,0.6,0,4.18
NGC 4866,UGC 8102,194.86417,14.17083,33.97,0.214,87,11.24,4.0,0.6,0,3.99
NGC 4874,UGC 8103,194.89708,27.96,40.47,1.0,0,11.73,4.0,1.0,0,0.0
NGC 4889,UGC 8110,195.03458,27.9775,37.34,0.646,80,11.63,4.0,1.0,0,0.0
NGC 4900,UGC 8116,195.16417,2.50056,39.46,0.933,0,11.35,1.0,0.15,0,0.87
NGC 4914,UGC 8125,195.17833,37.31611,28.98,0.562,155,11.59,4.0,1.0,0,0.0
NGC 4904,UGC 8121,195.245,-0.0275,21.01,0.661,25,12.05,1.0,0.08,0,2.25
NGC 4902,MCG -2-33- 92,195.24875,-14.51361,68.91,0.891,0,10.86,1.0,0.3,0,3.57
,ESO 443- 24,195.25708,-32.43889,25.83,0.813,167,12.0,4.0,1.0,0,0.0
NGC 4915,MCG -1-33- 69,195.36708,-4.54667,11.67,0.832,0,12.05,4.0,1.0,0,0.0
NGC 4930,ESO 323- 74,196.01917,-41.41139,81.49,0.832,40,11.25,1.0,0.15,0,0.0
NGC 4941,MCG -1-33- 77,196.05458,-5.55194,77.21,0.537,15,11.15,1.0,0.3,0,0.0
NGC 4939,MCG -2-33-104,196.06083,-10.33917,73.78,0.513,10,11.15,1.0,0.15,0,0.0
NGC 4945,ESO 219- 24,196.35917,-49.47083,180.7,0.191,43,8.75,1.0,0.08,1,0.0
NGC 4958,MCG -1-33- 84,196.45375,-8.02056,26.21,0.309,15,10.7,4.0,0.6,0,3.77
IC 4182,UGC 8188,196.45583,37.60583,369.38,0.912,0,11.22,1.0,0.03,0,0.88
A 1304+67,UGC 8201,196.61208,67.70417,96.51,0.55,0,12.25,1.0,0.03,0,0.64
NGC 4976,ESO 219- 29,197.15958,-49.50472,50.95,0.525,161,10.14,4.0,1.0,0,0.0
NGC 4984,MCG -2-34- 4,197.23833,-15.51611,40.24,0.794,90,11.35,4.0,0.6,0,6.62
NGC 4995,MCG -1-34- 7,197.41958,-7.83361,42.98,0.661,95,11.25,1.0,0.3,0,1.49
NGC 5005,UGC 8256,197.73417,37.05806,66.96,0.479,65,9.86,1.0,0.15,0,3.96
NGC 5023,UGC 8286,198.05,44.03861,117.4,0.129,28,12.3,1.0,0.08,1,0.93
NGC 5011,ESO 269- 65,198.21625,-43.09667,25.83,0.851,154,11.51,4.0,1.0,0,0.0
NGC 5018,ESO 576- 10,198.25417,-19.52,26.43,0.741,112,10.79,4.0,1.0,0,5.06
,ESO 323- 93,198.31042,-42.28667,2.45,0.646,107,11.39,4.0,1.0,0,0.0
NGC 5033,UGC 8307,198.36667,36.59389,128.39,0.468,170,10.2,1.0,0.15,0,3.57
,ESO 219- 41,198.49167,-49.47972,58.49,0.309,80,12.15,1.0,0.3,1,0.0
A 1312+46,UGC 8320,198.61917,45.91944,101.91,0.38,150,12.15,1.0,0.03,0,0.94
NGC 5037,MCG -3-34- 29,198.74792,-16.59111,26.21,0.331,40,11.47,1.0,0.5,1,0.0
NGC 5055,UGC 8334,198.95542,42.035,153.46,0.575,105,8.56,1.0,0.15,0,0.0
NGC 5054,MCG -3-34- 39,199.24333,-16.63528,73.45,0.575,160,10.92,1.0,0.15,0,10.41
IC 4214,ESO 444- 5,199.43125,-32.10139,38.13,0.575,176,11.52,1.0,0.3,0,5.18
NGC 5061,ESO 508- 38,199.52042,-26.83611,28.32,0.851,0,10.38,4.0,1.0,0,0.0
NGC 5062,ESO 382- 35,199.5975,-35.45778,21.64,0.324,130,11.3,4.0,0.6,0,0.0
NGC 5068,ESO 576- 29,199.73042,-21.03917,83.93,0.871,110,10.15,1.0,0.08,0,1.37
,ESO 269- 80,199.75708,-47.2575,2.98,0.891,5,11.8,4.0,1.0,0,0.0
NGC 5077,MCG -2-34- 27,199.88208,-12.65722,25.83,0.776,0,11.48,4.0,1.0,0,0.0
NGC 5078,ESO 508- 48,199.96,-27.40889,66.92,0.49,148,11.25,1.0,0.5,0,2.67
NGC 5084,ESO 576- 33,200.07,-21.82694,59.03,0.186,80,10.73,4.0,0.6,0,6.7
NGC 5087,ESO 576- 35,200.10542,-20.61028,16.49,0.724,10,11.5,4.0,1.0,0,0.0
NGC 5090,ESO 270- 2,200.30625,-43.705,21.16,0.832,0,11.67,4.0,1.0,0,0.0
NGC 5101,ESO 508- 58,200.44458,-27.43139,81.75,0.851,0,10.73,1.0,0.6,0,5.64
NGC 5105,MCG -2-34- 39,200.45542,-13.20694,27.93,0.741,0,12.25,1.0,0.15,0,1.35
NGC 5112,UGC 8403,200.48625,38.7375,66.79,0.708,130,12.05,1.0,0.08,0,1.72
NGC 5102,ESO 382- 50,200.49083,-36.62972,41.89,0.324,48,9.45,4.0,1.0,0,0.0
NGC 5121,ESO 382- 57,201.19208,-37.68361,41.21,0.776,36,10.76,1.0,0.5,0,0.0
NGC 5134,ESO 576- 52,201.32917,-21.13333,56.66,0.603,155,11.39,1.0,0.3,0,3.41
NGC 5128,ESO 270- 9,201.37083,-43.01667,482.62,0.776,35,6.94,4.0,0.6,0,0.0
NGC 5135,ESO 444- 32,201.43542,-29.83306,21.29,0.708,0,12.13,1.0,0.3,0,0.0
NGC 5147,UGC 8443,201.58208,2.09972,24.07,0.813,120,11.74,1.0,0.03,0,0.73
NGC 5150,ESO 444- 43,201.90292,-29.56222,10.26,0.776,115,11.85,1.0,0.15,0,0.0
NGC 5153,ESO 444- 45,201.97792,-29.61889,30.35,0.676,175,11.93,4.0,1.0,0,0.0
NGC 5156,ESO 220- 13,202.18375,-48.91667,34.36,0.851,0,11.74,1.0,0.15,0,0.0
NGC 5161,ESO 383- 4,202.30875,-33.175,85.53,0.389,77,11.45,1.0,0.15,0,0.0
NGC 5172,UGC 8477,202.33083,17.05167,59.62,0.525,103,11.88,1.0,0.15,0,0.0
NGC 5204,UGC 8490,202.40167,58.41778,65.53,0.603,5,11.18,1.0,0.03,0,1.12
NGC 5170,ESO 576- 65,202.45417,-17.96639,164.56,0.123,127,11.51,1.0,0.15,1,2.62
NGC 5194,UGC 8493,202.47208,47.19667,180.35,0.617,163,8.21,1.0,0.15,0,3.87
NGC 5195,UGC 8494,202.49458,47.2725,65.53,0.794,79,9.9,1.0,0.03,0,0.0
NGC 5198,UGC 8499,202.54792,46.67111,27.68,0.851,0,11.79,4.0,1.0,0,0.0
NGC 5188,ESO 383- 9,202.86875,-34.79556,37.8,0.372,104,12.21,1.0,0.3,0,0.0
NGC 5193,ESO 383- 15,202.97333,-33.23528,27.68,0.933,0,11.58,4.0,1.0,0,0.0
IC 4296,ESO 383- 39,204.16208,-33.96639,42.38,0.955,0,10.71,4.0,1.0,0,0.0
NGC 5236,ESO 444- 81,204.25125,-29.86778,124.58,0.891,0,7.65,1.0,0.15,0,4.01
NGC 5248,UGC 8616,204.38292,8.88556,70.98,0.724,110,10.22,1.0,0.15,0,4.03
NGC 5247,ESO 577- 14,204.515,-17.88222,141.62,0.871,20,9.75,1.0,0.15,0,3.85
A 1335-09,MCG -2-35- 10,204.5425,-9.80167,44.82,0.851,0,12.2,1.0,0.03,0,1.0
NGC 5257,UGC 8641,204.97083,0.84139,17.07,0.525,61,12.12,1.0,0.3,0,0.0
NGC 5253,ESO 445- 4,204.98292,-31.64472,36.6,0.389,45,10.32,1.0,0.03,0,0.0
NGC 5258,UGC 8645,204.99167,0.83306,18.02,0.676,154,12.18,1.0,0.3,0,0.0
NGC 5264,ESO 445- 12,205.40417,-29.91389,54.51,0.603,0,12.05,1.0,0.03,0,0.83
NGC 5273,UGC 8675,205.535,35.65333,88.03,0.912,10,11.54,4.0,0.6,0,5.86
NGC 5297,UGC 8709,206.60083,43.87361,72.04,0.224,148,11.92,1.0,0.15,1,1.07
NGC 5308,UGC 8722,206.7525,60.97472,42.38,0.182,60,11.41,4.0,1.0,0,0.0
IC 4329,ESO 445- 46,207.27208,-30.29583,68.73,0.575,63,11.3,4.0,1.0,0,0.0
NGC 5322,UGC 8745,207.315,60.19139,41.41,0.661,95,10.24,4.0,1.0,0,0.0
NGC 5326,UGC 8764,207.71167,39.57472,27.47,0.501,137,12.15,1.0,0.5,0,6.19
,ESO 221- 10,207.7375,-49.05556,15.14,1.0,17,12.2,1.0,0.3,0,0.0
,ESO 384- 2,207.83042,-33.80861,78.35,0.55,125,11.95,1.0,0.03,0,0.0
NGC 5328,ESO 445- 67,208.22375,-28.48778,26.13,0.724,87,11.77,4.0,1.0,0,0.0
NGC 5350,UGC 8810,208.34,40.36333,45.0,0.724,40,11.4,1.0,0.3,0,1.4
NGC 5354,UGC 8814,208.36083,40.30444,51.84,0.912,0,11.43,4.0,0.6,0,8.96
NGC 5353,UGC 8813,208.36167,40.28417,41.87,0.501,145,11.06,4.0,0.6,0,3.2
NGC 5351,UGC 8809,208.36708,37.91444,38.87,0.525,100,12.23,1.0,0.3,0,0.0
NGC 5333,ESO 221- 17,208.60167,-48.51194,52.71,0.501,52,10.77,4.0,0.6,0,0.0
NGC 5371,UGC 8846,208.91917,40.46222,76.05,0.794,8,10.57,1.0,0.15,0,1.28
NGC 5357,ESO 445- 78,208.99792,-30.34111,24.11,0.851,23,12.06,4.0,1.0,0,0.0
NGC 5363,UGC 8847,209.02958,5.25528,45.86,0.646,135,10.5,1.0,0.03,0,5.62
NGC 5389,UGC 8866,209.03125,59.74389,29.55,0.275,3,11.98,1.0,0.6,0,0.0
NGC 5364,UGC 8853,209.05,5.01528,108.67,0.646,30,10.42,1.0,0.15,0,1.87
NGC 5377,UGC 8863,209.07,47.23806,75.5,0.562,20,11.49,1.0,0.5,0,5.87
NGC 5383,UGC 8875,209.27208,41.84556,58.65,0.851,85,11.3,1.0,0.3,0,4.05
,ESO 384- 19,209.41583,-34.21833,35.04,0.832,0,11.9,4.0,0.6,0,0.0
NGC 5365,ESO 271- 8,209.4625,-43.93,18.5,0.631,4,11.55,4.0,1.0,0,0.0
IC 4351,ESO 445- 84,209.47583,-29.315,52.51,0.155,17,11.88,1.0,0.3,1,2.6
NGC 5395,UGC 8900,209.65958,37.42556,82.73,0.537,167,11.35,1.0,0.3,0,0.0
NGC 5397,ESO 384- 31,210.2925,-33.94444,8.73,0.692,60,11.83,4.0,0.6,0,0.0
NGC 5448,UGC 8969,210.71042,49.17361,138.72,0.447,115,11.18,1.0,0.5,0,4.6
NGC 5457,UGC 8981,210.80208,54.34861,379.23,0.933,0,7.76,1.0,0.08,0,1.31
NGC 5444,UGC 8974,210.8525,35.13222,28.65,0.871,90,11.88,4.0,1.0,0,0.0
NGC 5426,MCG -1-36- 4,210.85417,-6.06944,47.93,0.55,10,12.13,1.0,0.15,0,3.07
NGC 5427,MCG -1-36- 3,210.85875,-6.03139,41.32,0.851,0,11.38,1.0,0.15,0,2.8
NGC 5419,ESO 384- 39,210.91083,-33.97806,48.65,0.794,0,11.0,4.0,1.0,0,0.0
NGC 5408,MCG -7-29- 6,211.09167,-41.37667,11.14,0.49,0,11.65,1.0,0.03,0,0.0
NGC 5473,UGC 9011,211.18167,54.89222,23.02,0.708,160,11.45,4.0,1.0,0,6.43
NGC 5474,UGC 9013,211.25875,53.66306,84.9,0.891,0,10.73,1.0,0.08,0,2.47
NGC 5468,MCG -1-36- 7,211.64542,-5.45361,27.79,0.912,0,12.45,1.0,0.08,0,4.24
NGC 5485,UGC 9033,211.79792,55.00222,88.03,0.832,170,11.41,4.0,0.6,0,0.0
,ESO 221- 26,212.09833,-47.97028,26.43,0.617,1,11.2,4.0,1.0,0,0.0
IC 983,UGC 9061,212.51958,17.73333,77.82,0.871,120,11.73,1.0,0.15,0,0.0
NGC 5493,MCG -1-36- 13,212.87292,-5.04444,42.13,0.794,120,11.37,4.0,0.6,0,0.0
Circinus,ESO 97- 13,213.29083,-65.33833,59.43,0.437,40,11.35,1.0,0.3,0,0.0
NGC 5506,MCG 0-36- 28,213.31208,-3.2075,61.34,0.302,95,12.04,1.0,0.5,1,0.0
NGC 5529,UGC 9127,213.89208,36.22667,169.37,0.135,115,12.2,1.0,0.15,1,1.12
NGC 5533,UGC 9133,214.03208,35.345,44.19,0.617,30,11.95,1.0,0.3,0,0.0
NGC 5532,UGC 9137,214.22,10.80667,63.77,1.0,0,11.98,4.0,0.6,0,0.0
NGC 5534,MCG -1-36- 14,214.41833,-7.4175,27.09,0.589,0,12.25,1.0,0.3,0,8.46
NGC 5557,UGC 9161,214.60917,36.49389,33.28,0.813,105,11.02,4.0,1.0,0,0.0
NGC 5585,UGC 9179,214.95167,56.73028,134.56,0.646,30,10.65,1.0,0.08,0,2.07
NGC 5566,UGC 9175,215.08542,3.93306,64.34,0.331,35,10.71,1.0,0.3,1,5.18
NGC 5582,UGC 9188,215.18125,39.69306,41.89,0.617,25,11.58,4.0,1.0,0,0.0
NGC 5576,UGC 9183,215.2675,3.27056,22.76,0.631,95,10.95,4.0,1.0,0,6.74
IC 4402,ESO 272- 5,215.30708,-46.29833,27.64,0.204,127,11.25,1.0,0.3,1,0.0
NGC 5600,UGC 9220,215.95667,14.63806,16.64,0.955,0,12.11,1.0,0.15,0,1.89
NGC 5614,UGC 9226,216.03417,34.8575,38.3,0.832,0,11.77,1.0,0.3,0,0.0
NGC 5595,MCG -3-37- 1,216.05583,-16.72306,35.53,0.55,50,12.01,1.0,0.15,0,1.45
NGC 5597,MCG -3-37- 2,216.11458,-16.76278,42.06,0.794,95,12.05,1.0,0.08,0,18.73
NGC 5605,MCG -2-37- 3,216.28167,-13.16306,38.12,0.832,85,12.36,1.0,0.15,0,0.0
NGC 5631,UGC 9261,216.63917,56.58333,51.84,1.0,0,11.51,4.0,0.6,0,6.35
NGC 5638,UGC 9308,217.41875,3.23444,29.66,0.891,150,11.24,4.0,1.0,0,0.0
NGC 5660,UGC 9325,217.45458,49.62278,30.63,0.891,90,11.85,1.0,0.15,0,1.81
NGC 5653,UGC 9318,217.54333,31.215,19.43,0.741,125,12.11,1.0,0.3,0,0.0
NGC 5645,UGC 9328,217.66375,7.27583,27.06,0.631,80,12.45,1.0,0.08,0,2.18
NGC 5673,UGC 9347,217.87875,49.95972,19.4,0.257,136,12.35,1.0,0.08,1,1.19
IC 4444,ESO 272- 14,217.91333,-43.41917,30.28,0.832,0,11.25,1.0,0.15,0,0.0
IC 1029,UGC 9361,218.11458,49.90389,16.23,0.195,152,11.45,1.0,0.3,1,7.48
NGC 5643,ESO 272- 16,218.1725,-44.17333,93.56,0.871,0,10.19,1.0,0.15,0,0.0
NGC 5676,UGC 9366,218.19583,49.4575,53.19,0.479,47,11.12,1.0,0.15,0,1.22
NGC 5668,UGC 9363,218.35375,4.45056,42.06,0.912,0,11.65,1.0,0.08,0,1.64
IC 4451,ESO 385- 46,218.65458,-36.28528,32.52,0.617,89,11.1,4.0,1.0,0,0.0
NGC 5687,UGC 9395,218.72208,54.47611,10.2,0.708,105,11.7,4.0,1.0,0,0.0
NGC 5689,UGC 9399,218.87375,48.74306,24.43,0.275,85,11.9,1.0,0.6,0,3.87
NGC 5670,ESO 272- 19,218.90292,-45.96611,40.12,0.427,74,12.05,4.0,0.6,0,0.0
NGC 5690,UGC 9416,219.4225,2.28806,29.73,0.295,143,11.95,1.0,0.15,1,1.28
IC 4464,ESO 385- 50,219.45542,-36.87778,24.06,0.389,61,11.69,4.0,0.6,0,0.0
NGC 5691,UGC 9420,219.47375,-0.39722,41.69,0.759,110,11.53,1.0,0.5,0,1.43
NGC 5701,UGC 9436,219.79667,5.36583,114.15,0.955,0,10.86,1.0,0.6,0,4.12
NGC 5688,ESO 272- 22,219.89667,-45.02,67.91,0.646,85,12.25,1.0,0.15,0,0.0
NGC 5713,UGC 9451,220.04833,-0.29056,38.56,0.891,10,11.09,1.0,0.15,0,2.35
NGC 5728,MCG -3-37- 5,220.60042,-17.25333,90.34,0.575,30,11.52,1.0,0.5,0,5.62
NGC 5740,UGC 9493,221.1025,1.67944,33.5,0.513,160,11.81,1.0,0.3,0,7.03
NGC 5746,UGC 9499,221.235,1.95444,148.56,0.178,170,10.54,1.0,0.3,1,1.32
NGC 5750,UGC 9512,221.54708,-0.22194,64.97,0.525,65,11.6,1.0,0.6,0,2.58
NGC 5756,MCG -2-38- 12,221.89083,-14.85389,35.82,0.447,40,11.59,1.0,0.15,0,4.07
NGC 5774,UGC 9576,223.42917,3.58194,41.94,0.813,145,12.19,1.0,0.08,0,2.31
NGC 5775,UGC 9579,223.49042,3.54444,35.3,0.24,146,11.69,1.0,0.15,1,0.94
NGC 5792,UGC 9631,224.595,-1.09,69.76,0.251,84,11.33,1.0,0.3,1,7.77
,ESO 273- 14,224.6075,-47.69972,78.99,0.724,0,12.35,1.0,0.03,0,0.0
NGC 5791,ESO 581- 7,224.69167,-19.2675,30.35,0.513,163,11.78,4.0,1.0,0,0.0
NGC 5796,MCG -3-38- 39,224.85042,-16.62417,22.24,0.724,0,11.8,4.0,1.0,0,0.0
NGC 5806,UGC 9645,225.0025,1.89111,34.51,0.513,170,11.65,1.0,0.3,0,5.54
NGC 5812,MCG -1-38- 16,225.2325,-7.45806,27.36,0.871,0,11.29,4.0,1.0,0,0.0
NGC 5813,UGC 9655,225.29667,1.70222,67.16,0.724,145,10.55,4.0,1.0,0,0.0
NGC 5831,UGC 9678,226.03,1.22083,26.74,0.912,55,11.55,4.0,1.0,0,0.0
NGC 5838,UGC 9692,226.36083,2.10028,38.21,0.355,43,11.02,4.0,1.0,0,0.0
NGC 5846,UGC 9706,226.6225,1.60694,64.88,0.933,0,10.15,4.0,1.0,0,4.13
NGC 5866,UGC 9723,226.62583,55.76278,91.29,0.417,128,9.84,4.0,0.6,0,0.0
NGC 5850,UGC 9715,226.78292,1.54639,123.95,0.871,140,10.79,1.0,0.3,0,8.23
NGC 5854,UGC 9726,226.95083,2.56917,20.81,0.288,55,11.81,4.0,0.6,0,3.18
